Sources can be outdated very quickly and thus will be updated periodically - otherwise refer also to state ministries etc. where numbers differ as updating checks are made by us from Kreis (district) to Landes (state) or within the district websites,,,,,,,,,,,,,,,,,,,,,,,,
"Data can be used for reproduction with attribution to ""Risklayer GmbH (www.risklayer.com) and Center for Disaster Management and Risk Reduction Technology (CEDIM) at Karlsruhe Institute of Technology (KIT) and the Risklayer-CEDIM SARS-CoV-2 Crowdsourcing Contributors"".",,,,,,,|,,,,,,,,,,,,,,,,,
"Please watch out for Landkreis vs. Stadt. Bitte aufpassen, dass ihr nicht Kreisfreie Stadt und Landkreis verwechselt - Vielen Dank  (and Thanks) für die Hilfe und Bereitschaft, Trends für Deutschland auf Kreisebene darzustellen!",,,,,,,HIER BITTE ANFANGEN,,,,,,,,,,,,,,,,,
Contact: James Daniell (@JamesEDaniell on Twitter) or via the Risklayer Website; and Johannes Brand (@JohannesBrand98).,,,,,,,Erste,Erste,Erste,Erste,Erste,Erste,Erste,Erste,,Zweite,Zweite,Zweite,Zweite,Dritte,Dritte,Dritte,Dritte,
Heidelberg,Stadtkreis,47,15%,https://www.heidelberg.de/hd/corona-virus_+die+lage+in+heidelberg.html,"https://www.rhein-neckar-kreis.de/,Lde/start/landratsamt/coronavirus+-+faq.html",18.03.2020,57,,,,,19.03.2020 15:40,"https://www.rhein-neckar-kreis.de/,Lde/start/landratsamt/coronavirus+-+faq.html",@PAmapleleaf,1,,,,,,,,,8
Heidenheim,Landkreis,37,19%,https://www.info-corona-lrahdh.de/startseite,https://www.info-corona-lrahdh.de/startseite,18/03/2020 12:00,40,,,,,,,,1,,,,,,,,,8
Heilbronn,Stadtkreis,13,44%,https://sozialministerium.baden-wuerttemberg.de/de/gesundheit-pflege/gesundheitsschutz/infektionsschutz-hygiene/informationen-zu-coronavirus/,https://sozialministerium.baden-wuerttemberg.de/de/gesundheit-pflege/gesundheitsschutz/infektionsschutz-hygiene/informationen-zu-coronavirus/,18/03/2020 20:00,13,,,,,,,,0,,,,,,,,,8
Heilbronn,Landkreis,113,98%,https://www.landkreis-heilbronn.de/informationen-zum-coronavirus.44148.htm,https://www.landkreis-heilbronn.de/informationen-zum-coronavirus.44148.htm,18/03/2020 21:00,113,,,,,,,,0,,,,,,,,,8
Heinsberg,Kreis,811,7%,https://www.kreis-heinsberg.de/aktuelles/aktuelles/?pid=5142,https://www.kreis-heinsberg.de/aktuelles/aktuelles/?pid=5142,18/03/2020 13:30,840,33,,,3,,,,1,,,,,,,,,5
Helmstedt,Landkreis,5,150%,https://www.helmstedt.de/verwaltung/dienstleistungen/dienstleistung.php?id=692&menuid=662&refmenuid=1114&reftopmenu=782&topmenu=637,https://www.helmstedt.de/verwaltung/dienstleistungen/dienstleistung.php?id=692&menuid=662&refmenuid=1114&reftopmenu=782&topmenu=637,19/03/2020 00:00,5,,,,,,,,0,,,,,,,,,3
Herford,Kreis,52,44%,https://www.kreis-herford.de/LEBEN/Gesund-sein-und-bleiben/Infektionen-und-Krankheiten/Informationen-zum-Coronavirus,https://www.kreis-herford.de/LEBEN/Gesund-sein-und-bleiben/Infektionen-und-Krankheiten/Informationen-zum-Coronavirus/,18/03/2020 20:00,52,,,,,,,,0,,,,,,,,,5
Herne,Kreisfreie Stadt,13,63%,https://www.herne.de/Stadt-und-Leben/Gesundheit/Informationen-zum-Coronavirus/,https://www.herne.de/Stadt-und-Leben/Gesundheit/Informationen-zum-Coronavirus/,18/03/2020 21:35,13,,,,,,,,0,,,,,,,,,5
Hersfeld-Rotenburg,Landkreis,17,13%,https://www.hef-rof.de/presse/nachrichten-archiv/1566-zwei-neue-corona-faelle-im-landkreis,https://www.hef-rof.de/presse/nachrichten-archiv/1566-zwei-neue-corona-faelle-im-landkreis,18/03/2020 21:00,17,,,,,,,,0,,,,,,,,,6
Herzogtum Lauenburg,Kreis,19,46%,https://www.kreis-rz.de/index.phtml?mNavID=1814.183&sNavID=1814.183&La=1,https://schleswig-holstein.de/DE/Landesregierung/I/Presse/_documents/Corona-Liste_Kreise.html,19/03/2020 00:01,19,,,,,,,,0,,,,,,,,,1
Hildburghausen,Landkreis,0,,"https://www.landkreis-hildburghausen.de/Schnellnavigation/Startseite/Pressemitteilung-zur-Allgemeinverf%C3%BCgung-des-Landratsamtes-Hildburghausen-zum-Verbot-von-Veranstaltungen-auf-dem-Gebiet-des-Landkreises-Hildburghausen.php?object=tx,2902.5&ModID=7&FID=2902.1369.1","https://www.landkreis-hildburghausen.de/Schnellnavigation/Startseite/Pressemitteilung-zur-Allgemeinverf%C3%BCgung-des-Landratsamtes-Hildburghausen-zum-Verbot-von-Veranstaltungen-auf-dem-Gebiet-des-Landkreises-Hildburghausen.php?object=tx,2902.5&ModID=7&FID=2902.1369.1",18/03/2020 22:20,0,,,,,,,,0,,,,,,,,,16
Hildesheim,Landkreis,66,50%,https://www.landkreishildesheim.de/,"https://www.landkreishildesheim.de/-Landkreis-Aktuelle-Zahlen-zum-Coronavirus.php?object=tx,2829.5&ModID=7&mobile=off&FID=2829.3127.1",18.03.2020,66,,,,,,,,0,,,,,,,,,3
Hochsauerlandkreis,Kreis,82,2%,https://www.hochsauerlandkreis.de/startseite/pressemeldungen/pressemeldung-_Corona_Virus__49_Erkrankte_im_HSK___Notrufnummern_110_und_112_nicht_fuer_Coronafragen_nutzen.php,https://www.hochsauerlandkreis.de/startseite/pressemeldungen/pressemeldung-_Corona_Virus__Vier_Erkrankte_stationaer_untergebracht__82_insgesamt___Entscheidung_zu_Beitragsrueckerstattungen_spaetestens_im_April.php,18.03.2020,82,,,,,,,,0,,,,,,,,,5
Hochtaunuskreis,Landkreis,28,40%,https://www.hochtaunuskreis.de/Informationen+der+Kreisverwaltung+zum+Corona+Virus/Lage%C3%BCbersicht.html,https://soziales.hessen.de/gesundheit/infektionsschutz/coronavirus-sars-cov-2/taegliche-uebersicht-der-bestaetigten-sars-cov-2-faelle-hessen,18/03/2020 14:00,28,,,,,,,,0,,,,,,,,,6
Hof,Kreisfreie Stadt,5,25%,https://www.landkreis-hof.de/coronavirus-wir-informieren/,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,18/03/2020 20:30,9,,,,,3/19/2020 14:09,https://www.landkreis-hof.de/coronavirus-wir-informieren/,@LunaticMax,1,,,,,,,,,9
Hof,Landkreis,7,0%,https://www.landkreis-hof.de/coronavirus-wir-informieren/,https://www.landkreis-hof.de/coronavirus-wir-informieren/,19/03/2020 00:00,13,,,,,v,https://www.landkreis-hof.de/coronavirus-wir-informieren/,@LunaticMax,1,,,,,,,,,9
Hohenlohekreis,Landkreis,167,11%,https://www.corona-im-hok.de/,https://www.hohenlohekreis.de/index.php?id=291&publish[id]=1110500&publish[start]=,18/03/2020 19:00,167,,,,,,,,0,,,,,,,,,8
Holzminden,Landkreis,14,8%,https://www.landkreis-holzminden.de/portal/seiten/aktuelles-zum-coronavirus-900000405-25600.html?rubrik=900000005,https://www.landkreis-holzminden.de/portal/seiten/aktuelles-zum-coronavirus-900000405-25600.html?rubrik=900000005,19/03/2020 00:00,14,,,,,,,,0,,,,,,,,,3
Höxter,Kreis,7,75%,https://www.kreis-hoexter.de/service-kontakt/pressestelle/pressemitteilungen/4205.Update-von-Sonntag-Keine-neuen-Faelle-des-Coronavirus-im-Kreis-Hoexter.html,https://www.kreis-hoexter.de/service-kontakt/pressestelle/pressemitteilungen/4205.Update-von-Sonntag-Keine-neuen-Faelle-des-Coronavirus-im-Kreis-Hoexter.html,19/03/2020 00:00,7,,,,,,,,0,,,,,,,,,5
Ilm-Kreis,Landkreis,3,50%,https://www.ilm-kreis.de/,https://www.ilm-kreis.de/,18/03/2020 22:20,3,,,,,,,,0,,,,,,,,,16
Ingolstadt,Kreisfreie Stadt,3,0%,"https://www.ingolstadt.de/Home/index.php?La=1&object=tx,3052.13907.1&kat=&kuo=2&sub=0&&NavID=2789.411.1","https://www.ingolstadt.de/Home/index.php?La=1&object=tx,3052.13907.1&kat=&kuo=2&sub=0&&NavID=2789.411.1",19/03/2020 00:00,3,1,,,,b,"https://www.ingolstadt.de/Home/Informationen-zum-Coronavirus.php?object=tx,2789.5&ModID=7&FID=3052.12561.1&NavID=2789.411",@LunaticMax,0,,,,,,,,,9
Jena,Kreisfreie Stadt,30,50%,https://gesundheit.jena.de/de/coronavirus,https://gesundheit.jena.de/de/coronavirus,18/03/2020 22:20,33,,,,,,,,1,,,,,,,,,16
Jerichower Land,Landkreis,3,200%,https://www.lkjl.de/de/index.php?id=223359001131,https://www.lkjl.de/de/index.php?id=223359001131,18/03/2020 18:00,3,,,,,,,,0,,,,,,,,,15
Kaiserslautern,Kreisfreie Stadt,11,22%,https://www.kaiserslautern-kreis.de/aktuelles.html,https://www.kaiserslautern-kreis.de/aktuelles.html,19/03/2020 00:00,13,,,,,3/19/2020 15:44:43,https://lua.rlp.de/de/presse/detail/news/News/detail/coronavirus-sars-cov-2-aktuelle-fallzahlen-fuer-rheinland-pfalz/,@passix_,1,,,,,,,,,7
Kaiserslautern,Landkreis,11,-15%,https://www.kaiserslautern-kreis.de/aktuelles.html,https://www.kaiserslautern-kreis.de/aktuelles.html,19/03/2020 00:00,13,,,,,"18. März, 17:00 Uhr",,,1,,,,,,,,,7
Karlsruhe,Stadtkreis,43,39%,https://corona.karlsruhe.de/aktuell/aktuelle-informationen-und-zahlen,https://corona.karlsruhe.de/aktuell/aktuelle-informationen-und-zahlen,3/19/2020 1:23:00,55,,,,,3/19/2020 15:44:43,,,1,154 total (Stadt und Land),,,,,,,,8
Karlsruhe,Landkreis,77,38%,https://corona.karlsruhe.de/aktuell/aktuelle-informationen-und-zahlen,https://corona.karlsruhe.de/aktuell/aktuelle-informationen-und-zahlen,3/19/2020 1:23:00,99,,,,,3/19/2020 15:44:43,,,1,154 total (Stadt und Land),,,,,,,,8
Kassel,Kreisfreie Stadt,26,73%,https://www.kassel.de/aktuelles/aktuelle-meldungen/coronavirus.php,https://www.kassel.de/aktuelles/aktuelle-meldungen/coronavirus.php,19/03/2020 00:00,34,,,,,,,,1,,,,,,,,,6
Kassel,Landkreis,27,50%,https://www.kassel.de/aktuelles/aktuelle-meldungen/coronavirus.php,https://www.kassel.de/aktuelles/aktuelle-meldungen/coronavirus.php,19/03/2020 00:00,32,,,,,,,,1,,,,,,,,,6
Kaufbeuren,Kreisfreie Stadt,5,0%,https://www.landkreis-ostallgaeu.de/aktuelles.html,https://www.landkreis-ostallgaeu.de/aktuelles.html,19/03/2020 00:00,5,,,,,,,,0,,,,,,,,,9
Kelheim,Landkreis,14,133%,https://www.landkreis-kelheim.de/amt-service/coronavirus/,https://www.landkreis-kelheim.de/amt-service/coronavirus/,19/03/2020 00:00,14,,124,,,3/19/2020 14:14,https://www.landkreis-kelheim.de/amt-service/meldungen/koordinierungsstelle-update-18032020/,@LunaticMax,0,,,,,,,,,9
Kempten (Allgäu),Kreisfreie Stadt,5,0%,https://www.oberallgaeu.org/de/news/detail/corona:-newsticker-oberallgaeu.html,https://www.oberallgaeu.org/de/news/detail/corona:-newsticker-oberallgaeu.html,19/03/2020 00:00,42,,,,2,,,,1,,,,,,,,,9
Kiel,Kreisfreie Stadt,25,39%,https://www.kiel.de/de/gesundheit_soziales/gesundheit_vorsorgen_heilen/infektionsschutz/coronavirus.php,https://www.kiel.de/de/gesundheit_soziales/gesundheit_vorsorgen_heilen/infektionsschutz/coronavirus.php,19/03/2020 00:02,25,,,,,,,,0,,,,,,,,,1
Kitzingen,Landkreis,9,80%,https://www.kitzingen.de/buergerservice/aktuelles/aktuelles-2020/corona/,https://www.kitzingen.de/buergerservice/aktuelles/aktuelles-2020/corona/,19/03/2020 00:00,9,,,,,3/19/2020 14:14,https://www.kitzingen.de/buergerservice/aktuelles/aktuelles-2020/corona/,@LunaticMax,0,,,,,,,,,9
Kleve,Kreis,74,6%,https://www.kleve.de/de/inhalt/aktuelles/,http://www.brd.nrw.de/bausteine/_TT/TT_Corona_Virus_Karte_F.html,19/03/2020 00:00,83,,,,,,https://www.brd.nrw.de/bausteine/_TT/TT_Corona_Virus_Karte_F.html,,1,,,,,,,,,5
Koblenz,Kreisfreie Stadt,36,71%,https://www.koblenz.de/aktuelles/coronavirus/,https://www.kvmyk.de/kv_myk/Aktuelles/Pressemeldungen%202020/Neue%20bestätigte%20Coronafälle%20im%20Kreis%20MYK%20und%20der%20Stadt%20Koblenz%20(18.%20März)/,18/03/2020 17:00,42,,,,,3/19/2020 15:44:43,https://www.kvmyk.de/kv_myk/Aktuelles/Pressemeldungen%202020/Weitere%20bestätigte%20Coronafälle%20%20im%20Kreis%20MYK%20und%20der%20Stadt%20Koblenz/,@passix_,1,,,,,,,,,7
Köln,Kreisfreie Stadt,478,24%,https://www.koeln.de/koeln/nachrichten/lokales/coronavirus-in-koeln-der-aktuelle-stand_1144487.html,https://www.koeln.de/koeln/nachrichten/lokales/coronavirus-in-koeln-der-aktuelle-stand_1144487.html,19/03/2020 00:00,478,,,,,,,,0,,,,,,,,,5
Konstanz,Landkreis,45,0%,https://www.lrakn.de/Startseite,"https://www.lrakn.de/,Lde/service-und-verwaltung/aemter/gesundheit+und+versorgung/coronavirus",17/03/2020,53,1,,,,18/03/2020,"https://www.lrakn.de/,Lde/service-und-verwaltung/aemter/gesundheit+und+versorgung/coronavirus",,1,,,,,,,,,8
Krefeld,Kreisfreie Stadt,54,26%,https://www.krefeld.de/de/inhalt/informationen-zum-thema-corona-virus/,https://www.krefeld.de/de/inhalt/coronavirus/,19/03/2020 00:00,54,,,,,,,,0,,,,,,,,,5
Kronach,Landkreis,4,33%,https://www.landkreis-kronach.de/aktuelles/meldungen/pressemitteilung-des-landkreises-kronach/,landkreis-kronach.de/aktuelles/coronavirus/,19/03/2020 00:15,4,,,,,3/19/2020 14:14,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,@LunaticMax,0,,,,,,,,,9
Kulmbach,Landkreis,12,1100%,https://www.facebook.com/kulmbach.stadtportal,https://www.landkreis-kulmbach.de/fileadmin/user_upload/Home/Pressebereich/Pressemappen/Coronavirus/PM/PM_200317_Update_Coronavirus-F%C3%A4lle.pdf,19/03/2020 00:15,11,,,,,3/19/2020 14:18,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,@LunaticMax,1,,,,,,,,,9
Kusel,Landkreis,18,29%,https://landkreis-kusel.de/no_cache/aktuelles/news.html,https://landkreis-kusel.de/aktuelles/coronavirus-wichtige-hinweise-und-aktuelle-informationen/aktuelle-informationen.html,18/03/2020 20:00,18,,,,,,,,0,,,,,,,,,7
Kyffhäuserkreis,Landkreis,8,0%,https://www.kyffhaeuser.de/kyf/index.php/pressemeldungen-leser/items/2140.html,https://www.kyffhaeuser.de/kyf/index.php/pressemeldungen-leser/items/2140.html,18/03/2020 22:20,8,,,,,,,,0,,,,,,,,,16
Lahn-Dill-Kreis,Landkreis,21,0%,https://www.lahn-dill-kreis.de/buergerservice/gesundheitsamt/hygiene-infektion/lahn-dill-kreisdecoronavirus/,https://www.lahn-dill-kreis.de/buergerservice/gesundheitsamt/hygiene-infektion/lahn-dill-kreisdecoronavirus/,19/03/2020 00:00,21,,,,,,,,0,,,,,,,,,6
Landau in der Pfalz,Kreisfreie Stadt,2,0%,https://www.suedliche-weinstrasse.de/de/aktuelles/pressemeldungen/2020_066.php,https://www.suedliche-weinstrasse.de/de/aktuelles/pressemeldungen/2020_066.php,18/03/2020 20:35,9,,,,,,,,1,,,,,,,,,7
Landsberg am Lech,Landkreis,14,40%,https://www.landkreis-landsberg.de/aktuelles/pressemitteilungen/corona-virus/,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,18/03/2020 20:40,14,,,,,3/19/2020 14:18,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,@LunaticMax,0,,,,,,,,,9
Landshut,Kreisfreie Stadt,4,0%,http://www.landshut.de/portal/startseite/pressedetails/article/8840/12332.html,http://www.landshut.de/portal/startseite/pressedetails/article/8840/12332.html,19/03/2020 00:00,12,,,,,3/19/2020 14:18,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,@LunaticMax,1,,,,,,,,,9
Landshut,Landkreis,25,0%,https://www.landkreis-landshut.de/Landratsamt/Aktuelles.aspx?rssid=f556fe1f-c62f-46a8-ab11-6eaa1479c00a,https://www.landkreis-landshut.de/Landratsamt/Aktuelles.aspx?rssid=f556fe1f-c62f-46a8-ab11-6eaa1479c00a,18/03/2020 21:00,36,,,,,3/19/2020 14:18,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,@LunaticMax,1,,,,,,,,,9
Leer,Landkreis,10,43%,https://www.landkreis-leer.de/,https://www.landkreis-leer.de/Leben-Lernen/Coronavirus,18/03/2020 18:30,10,,,,,,,,0,,,,,,,,,3
Leipzig,Kreisfreie Stadt,72,1%,https://www.sms.sachsen.de/coronavirus.html,https://www.sms.sachsen.de/coronavirus.html,18/03/2020 16:30,87,,,,,,,,1,,,,,,,,,14
Leipzig,Landkreis,25,47%,https://www.landkreisleipzig.de/,https://www.landkreisleipzig.de/corona_virus.html,18/03/2020 19:00,25,,,,,,,,0,,,,,,,,,14
Leverkusen,Kreisfreie Stadt,31,48%,https://www.leverkusen.de/leben-in-lev/gesundheit/info-zu-corona-virus.php,https://www.leverkusen.de/leben-in-lev/gesundheit/info-zu-corona-virus.php#c0,18/03/2020 23:50,31,,,,,,,,0,,,,,,,,,5
Lichtenfels,Landkreis,5,67%,https://www.lkr-lif.de/landratsamt/gesundheit-und-verbraucherschutz/gesundheitswesen/informationen-fuer-die-buerger/coronavirus/index.html,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,18/03/2020 20:40,5,,,,,3/19/2020 15:06,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,@LunaticMax,0,,,,,,,,,9
Limburg-Weilburg,Landkreis,12,50%,https://www.landkreis-limburg-weilburg.de/,https://soziales.hessen.de/gesundheit/infektionsschutz/coronavirus-sars-cov-2/taegliche-uebersicht-der-bestaetigten-sars-cov-2-faelle-hessen,18/03/2020 14:00,12,,,,,,,,0,,,,,,,,,6
Lindau (Bodensee),Landkreis,21,11%,"https://www.landkreis-lindau.de/B%C3%BCrgerservice-Online-Dienste/B%C3%BCrgerservice/Aktuell/index.php?La=1&object=tx,2846.1038.1&kat=&kuo=2&sub=0",https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,18/03/2020 20:40,23,,,,,3/19/2020 15:06,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,@LunaticMax,1,,,,,,,,,9
Lippe,Kreis,107,23%,https://www.kreis-lippe.de/?object=tx|2001.7113.1,"https://www.kreis-lippe.de/offen-sympathisch-zukunftsorientiert/Aktuell/Aktuelle-Informationen-zum-Coronavirus-in-Lippe-Stand-18-03-2020-Uhrzeit-12-Uhr-%C3%9Cber-100-Coronaf%C3%A4lle-im-Kreis-Lippe.php?object=tx,2.1&ModID=7&FID=2001.7245.1&NavID=2001.45&La=1",18/03/2020 23:50,107,,,,,,,,0,,,,,,,,,5
Lörrach,Landkreis,49,81%,https://www.loerrach-landkreis.de/de/Service-Verwaltung/Fachbereiche/Gesundheit/Sachgebiete/Sachgebiet/Corona,https://www.loerrach-landkreis.de/de/Service-Verwaltung/Fachbereiche/Gesundheit/Sachgebiete/Sachgebiet/Corona?skipEntranceUrl,18/03/2020 16:45,49,,,,,,,,0,,,,,,,,,8
Lübeck,Kreisfreie Stadt,18,64%,https://www.luebeck.de/de/rathaus/verwaltung/gesundheitsamt/infektionsschutz/coronavirus.html,https://www.luebeck.de/de/rathaus/verwaltung/gesundheitsamt/infektionsschutz/coronavirus.html,19/03/2020 00:03,18,,,,,,,,0,,,,,,,,,1
Lüchow-Dannenberg,Landkreis,0,,https://www.luechow-dannenberg.de/home/familie-soziales-gesundheit/corona-virus.aspx,https://www.luechow-dannenberg.de/home/familie-soziales-gesundheit/corona-virus.aspx,18/03/2020 10:00,0,,,,,,,,0,,,,,,,,,3
Ludwigsburg,Landkreis,112,29%,https://sozialministerium.baden-wuerttemberg.de/de/gesundheit-pflege/gesundheitsschutz/infektionsschutz-hygiene/informationen-zu-coronavirus/,https://sozialministerium.baden-wuerttemberg.de/de/gesundheit-pflege/gesundheitsschutz/infektionsschutz-hygiene/informationen-zu-coronavirus/,18/03/2020 20:00,112,,,,,,,,0,,,,,,,,,8
Ludwigshafen am Rhein,Kreisfreie Stadt,10,11%,https://www.ludwigshafen.de/buergernah/buergerservice/informationen-zum-coronavirus/informationen-des-gesundheitsamts-des-rhein-pfalz-kreises/,https://www.rhein-pfalz-kreis.de/kv_rpk/Coronavirus/Fallzahlen/,18/03/2020,12,,,,,3/19/2020 15:44:43,https://www.rhein-pfalz-kreis.de/kv_rpk/Coronavirus/Fallzahlen/,@passix_,1,,,,,,,,,7
Ludwigslust-Parchim,Landkreis,3,50%,https://www.kreis-lup.de/corona/,https://www.kreis-lup.de/corona/,19/03/2020 00:00,3,,,,,,,,0,,,,,,,,,13
Lüneburg,Landkreis,42,62%,https://www.landkreis-lueneburg.de/,https://twitter.com/lk_lueneburg/status/1240240976221831173?s=20,18.03.20 13:30,45,,,,,,,,1,,,,,,,,,3
Magdeburg,Kreisfreie Stadt,27,35%,http://magdeburg.de/Start/B%C3%BCrger-Stadt/Aktuelles-Presse/Coronavirus-Covid-19,http://magdeburg.de/Start/B%C3%BCrger-Stadt/Aktuelles-Presse/Coronavirus-Covid-19,18/03/2020 18:00,27,,,,,,,,0,,,,,,,,,15
Main-Kinzig-Kreis,Landkreis,40,21%,https://www.mkk.de/aktuelles/pressemitteilungen_1/pressemitteilung_1174336.html,https://www.mkk.de/aktuelles/pressemitteilungen_1/pressemitteilung_1174336.html,19/03/2020 00:00,40,,,,,,,,0,,,,,,,,,6
Main-Spessart,Landkreis,8,0%,https://www.main-spessart.de/themen/gesundheit-soziales/gesundheitsregion-plus/3939.Coronavirus-SARS-CoV-2-COVID-19.html,https://www.main-spessart.de/themen/gesundheit-soziales/gesundheitsregion-plus/3939.Coronavirus-SARS-CoV-2-COVID-19.html,19/03/2020 00:00,9,,,,,3/19/2020 15:08,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,@LunaticMax,1,,,,,,,,,9
Main-Tauber-Kreis,Landkreis,36,6%,"https://www.main-tauber-kreis.de/Landratsamt/Aktuelles/Pressemitteilungen/Weiterer-Fall-von-Coronavirus-Infektion-best%C3%A4tigt-Zahlen-17-M%C3%A4rz-.php?object=tx,2894.6&ModID=7&FID=2894.22548.1&NavID=2177.36.1","https://www.main-tauber-kreis.de/Landratsamt/Aktuelles/Pressemitteilungen/Weiterer-Fall-von-Coronavirus-Infektion-best%C3%A4tigt-Zahlen-17-M%C3%A4rz-.php?object=tx,2894.6&ModID=7&FID=2894.22548.1&NavID=2177.36.1",19/03/2020 00:00,36,,,,,,,,0,,,,,,,,,8
Main-Taunus-Kreis,Landkreis,18,13%,https://www.mtk.org/Coronavirus-8588.htm,https://soziales.hessen.de/gesundheit/infektionsschutz/coronavirus-sars-cov-2/taegliche-uebersicht-der-bestaetigten-sars-cov-2-faelle-hessen,18/03/2020 14:00,18,,,,,,,,0,,,,,,,,,6
Mainz,Kreisfreie Stadt,35,25%,https://mainz.de/verwaltung-und-politik/buergerservice-online/schutz-gegen-corona-infektionen.php,https://msagd.rlp.de/de/unsere-themen/gesundheit-und-pflege/gesundheitliche-versorgung/oeffentlicher-gesundheitsdienst-hygiene-und-infektionsschutz/infektionsschutz/informationen-zum-coronavirus-sars-cov-2/,18/03/2020 17:00,45,,,,,3/19/2020 15:44:43,https://lua.rlp.de/de/presse/detail/news/News/detail/coronavirus-sars-cov-2-aktuelle-fallzahlen-fuer-rheinland-pfalz/,@passix_,1,,,,,,,,,7
Mainz-Bingen,Landkreis,24,20%,https://www.mainz-bingen.de/de/aktuelles/Corona.php,https://www.mainz-bingen.de/de/aktuelles/Corona.php,19/03/2020 00:00,30,,,,,3/19/2020 15:44:43,https://lua.rlp.de/de/presse/detail/news/News/detail/coronavirus-sars-cov-2-aktuelle-fallzahlen-fuer-rheinland-pfalz/,@passix_,1,,,,,,,,,7
Mannheim,Stadtkreis,79,10%,https://www.mannheim.de/de/nachrichten/aktuelle-information-zu-corona-18-03-20,https://www.mannheim.de/de/nachrichten/aktuelle-information-zu-corona-18-03-20,18/03/2020 16:00,79,,,,,,,,0,,,,,,,,,8
Mansfeld-Südharz,Landkreis,3,50%,https://www.mansfeldsuedharz.de/de/meldungen/landkreis.html,https://www.mansfeldsuedharz.de/de/meldungen/landkreis.html,18/03/2020 18:00,3,,,,,,,,0,,,,,,,,,15
Marburg-Biedenkopf,Landkreis,35,3%,https://www.marburg-biedenkopf.de/Pressemitteilungen/2020/03/102-2020-Corona-Folgemeldung-9.php,https://www.marburg-biedenkopf.de/Pressemitteilungen/2020/03/102-2020-Corona-Folgemeldung-9.php,18/03/2020 19:43,35,,,,,,,,0,,,,,,,,,6
Märkisch-Oderland,Landkreis,26,100%,https://www.maerkisch-oderland.de/de/aktuelles/pressemitteilung-262020.html,https://www.maerkisch-oderland.de/de/aktuelle-lageberichte.html,17/03/2020 20:00,26,,,,,,,,0,,,,,,,,,12
Märkischer Kreis,Kreis,29,7%,https://www.maerkischer-kreis.de/,https://www.maerkischer-kreis.de/service/pressemeldungen/presseservice1040278.php,18/03/2020 20:00,33,,,,,3/19/2020 15:44:43,https://www.come-on.de/kreis-mk/coronavirus-luedenscheid-iserlohn-menden-neue-faelle-infizierte-klinik-13565210.html,,4,,,,,,,,,5
Mayen-Koblenz,Landkreis,90,45%,https://www.kvmyk.de/kv_myk/Slideshow/Corona-Ticker/,https://www.kvmyk.de/kv_myk/Aktuelles/Pressemeldungen%202020/Neue%20bestätigte%20Coronafälle%20im%20Kreis%20MYK%20und%20der%20Stadt%20Koblenz%20(18.%20März)/,18/03/2020,135,,,,,3/19/2020 15:44:43,https://lua.rlp.de/de/presse/detail/news/News/detail/coronavirus-sars-cov-2-aktuelle-fallzahlen-fuer-rheinland-pfalz/,@passix_,1,,,,,,,,,7
Mecklenburgische Seenplatte,Landkreis,19,46%,https://www.lk-mecklenburgische-seenplatte.de/Aktuelles/Presse/Informationen-zu-Corona,https://www.kvmyk.de/kv_myk/Aktuelles/Pressemeldungen%202020/Neue%20bestätigte%20Coronafälle%20im%20Kreis%20MYK%20und%20der%20Stadt%20Koblenz%20(18.%20März)/,19/03/2020 00:00,19,,,,,,,,0,,,,,,,,,13
Meißen,Landkreis,12,9%,http://www.kreis-meissen.org/15946.html,https://www.kvmyk.de/kv_myk/Aktuelles/Pressemeldungen%202020/Neue%20bestätigte%20Coronafälle%20im%20Kreis%20MYK%20und%20der%20Stadt%20Koblenz%20(18.%20März)/,18/03/2020 16:30,12,,,,,,,,0,,,,,,,,,14
